Survey Date,Rating,NPS Category,Sentiment,Completion Time (min),Feedback
11/14/2024,4,Promoter,Positive,3,Fantastic
11/9/2024,4,Promoter,Positive,5,Good
11/15/2024,2,Detractor,Negative,5,Horrible
11/29/2024,5,Promoter,Positive,4,Superb
1/2/2025,1,Detractor,Negative,7,Terrible
11/22/2024,4,Promoter,Positive,9,Good
11/11/2024,5,Promoter,Positive,7,Average
11/11/2024,3,Passive,Neutral,5,Okay
12/18/2024,5,Promoter,Positive,2,Good
11/10/2024,3,Passive,Neutral,7,Average
12/20/2024,4,Promoter,Positive,2,Good
12/30/2024,5,Promoter,Positive,5,Exceptional
11/1/2024,4,Promoter,Positive,7,Exceptional
11/28/2024,5,Promoter,Positive,9,Good
11/16/2024,2,Detractor,Negative,3,Terrible
11/3/2024,4,Promoter,Positive,5,Superb
12/18/2024,5,Promoter,Positive,2,Satisfactory
1/4/2025,4,Promoter,Positive,8,Good
1/5/2025,4,Promoter,Positive,3,Awesome
11/24/2024,4,Promoter,Positive,2,Excellent
11/12/2024,4,Promoter,Positive,6,Exceptional
12/12/2024,3,Passive,Neutral,5,Satisfactory
11/7/2024,1,Detractor,Negative,3,Disappointing
12/5/2024,5,Promoter,Positive,10,Exceptional
12/21/2024,2,Detractor,Negative,6,Bad
11/12/2024,4,Promoter,Positive,9,Excellent
12/27/2024,3,Passive,Neutral,8,Ok
12/23/2024,4,Promoter,Positive,9,Good
11/9/2024,4,Promoter,Positive,6,Good
1/13/2025,4,Promoter,Positive,7,Awesome
11/30/2024,3,Passive,Neutral,10,Average
11/2/2024,5,Promoter,Positive,5,Good
12/19/2024,5,Promoter,Positive,4,Superb
11/26/2024,4,Promoter,Positive,7,Awesome
12/23/2024,4,Promoter,Positive,4,Awesome
1/26/2025,1,Detractor,Negative,6,Disappointing
1/4/2025,5,Promoter,Positive,10,Awesome
12/19/2024,4,Promoter,Positive,6,Good
12/10/2024,5,Promoter,Positive,9,Exceptional
1/9/2025,4,Promoter,Positive,6,Satisfactory
11/18/2024,4,Promoter,Positive,9,Mediocre
12/17/2024,5,Promoter,Positive,9,Satisfactory
12/23/2024,5,Promoter,Positive,4,Excellent
11/25/2024,5,Promoter,Positive,2,Good
11/8/2024,5,Promoter,Positive,9,Awesome
12/12/2024,3,Passive,Neutral,4,Average
1/2/2025,5,Promoter,Positive,2,Good
1/2/2025,2,Detractor,Negative,8,Awesome
11/7/2024,5,Promoter,Positive,2,Superb
11/11/2024,5,Promoter,Positive,6,Awesome
12/14/2024,2,Detractor,Negative,10,Terrible
11/11/2024,5,Promoter,Positive,7,Awesome
11/1/2024,5,Promoter,Positive,8,Awesome
12/18/2024,5,Promoter,Positive,5,Disappointing
12/29/2024,3,Passive,Neutral,9,Exceptional
12/12/2024,2,Detractor,Negative,8,Fantastic
1/27/2025,2,Detractor,Negative,8,Horrible
12/7/2024,3,Passive,Neutral,6,Fine
1/29/2025,4,Promoter,Positive,2,Disappointing
12/10/2024,2,Detractor,Negative,8,Bad
1/27/2025,1,Detractor,Negative,8,Horrible
12/3/2024,5,Promoter,Positive,3,Okay
11/2/2024,5,Promoter,Positive,4,Excellent
12/27/2024,5,Promoter,Positive,3,Fantastic
11/23/2024,5,Promoter,Positive,6,Fantastic
11/15/2024,4,Promoter,Positive,4,Exceptional
12/5/2024,5,Promoter,Positive,5,Exceptional
11/15/2024,5,Promoter,Positive,4,Awesome
1/30/2025,5,Promoter,Positive,9,Exceptional
12/1/2024,4,Promoter,Positive,8,Exceptional
12/29/2024,4,Promoter,Positive,8,Good
1/11/2025,5,Promoter,Positive,5,Exceptional
12/12/2024,5,Promoter,Positive,6,Average
1/30/2025,5,Promoter,Positive,7,Exceptional
12/16/2024,1,Detractor,Negative,6,Awesome
11/20/2024,2,Detractor,Negative,3,Disappointing
11/6/2024,4,Promoter,Positive,4,Satisfactory
12/14/2024,5,Promoter,Positive,5,Okay
11/21/2024,5,Promoter,Positive,7,Good
12/22/2024,4,Promoter,Positive,7,Awesome
11/2/2024,1,Detractor,Negative,5,Horrible
12/14/2024,4,Promoter,Positive,6,Superb
11/16/2024,4,Promoter,Positive,9,Excellent
11/23/2024,3,Passive,Neutral,4,Fine
11/26/2024,4,Promoter,Positive,3,Exceptional
1/13/2025,4,Promoter,Positive,8,Disappointing
11/24/2024,2,Detractor,Negative,5,Bad
12/6/2024,4,Promoter,Positive,10,Satisfactory
12/12/2024,5,Promoter,Positive,6,Fantastic
1/28/2025,5,Promoter,Positive,5,Okay
1/10/2025,4,Promoter,Positive,6,Awesome
1/22/2025,5,Promoter,Positive,3,Okay
11/28/2024,4,Promoter,Positive,9,Exceptional
11/27/2024,3,Passive,Neutral,4,Mediocre
11/2/2024,5,Promoter,Positive,2,Disappointing
12/21/2024,3,Passive,Neutral,4,Exceptional
1/14/2025,4,Promoter,Positive,3,Mediocre
1/18/2025,1,Detractor,Negative,3,Awesome
1/19/2025,5,Promoter,Positive,8,Superb
1/17/2025,3,Passive,Neutral,5,Fine
11/15/2024,2,Detractor,Negative,7,Mediocre
12/5/2024,4,Promoter,Positive,2,Exceptional
1/28/2025,3,Passive,Neutral,5,Good
12/27/2024,2,Detractor,Negative,7,Poor
11/1/2024,4,Promoter,Positive,9,Superb
12/23/2024,4,Promoter,Positive,4,Good
11/26/2024,5,Promoter,Positive,4,Excellent
1/11/2025,4,Promoter,Positive,5,Average
12/24/2024,3,Passive,Neutral,3,Average
1/3/2025,5,Promoter,Positive,5,Disappointing
12/15/2024,4,Promoter,Positive,3,Disappointing
12/19/2024,4,Promoter,Positive,2,Excellent
12/5/2024,5,Promoter,Positive,7,Awesome
1/5/2025,3,Passive,Neutral,5,Mediocre
11/16/2024,4,Promoter,Positive,7,Disappointing
12/3/2024,4,Promoter,Positive,8,Okay
12/10/2024,4,Promoter,Positive,2,Satisfactory
11/23/2024,5,Promoter,Positive,5,Satisfactory
11/19/2024,2,Detractor,Negative,9,Poor
12/13/2024,5,Promoter,Positive,9,Mediocre
1/13/2025,4,Promoter,Positive,8,Average
11/27/2024,5,Promoter,Positive,2,Superb
11/19/2024,4,Promoter,Positive,6,Exceptional
1/2/2025,4,Promoter,Positive,5,Average
11/9/2024,5,Promoter,Positive,6,Superb
11/16/2024,5,Promoter,Positive,8,Fantastic
11/16/2024,4,Promoter,Positive,9,Excellent
11/10/2024,5,Promoter,Positive,7,Mediocre
12/21/2024,4,Promoter,Positive,6,Superb
11/15/2024,1,Detractor,Negative,4,Horrible
12/8/2024,1,Detractor,Negative,8,Mediocre
12/18/2024,5,Promoter,Positive,5,Exceptional
1/26/2025,3,Passive,Neutral,2,Average
12/6/2024,4,Promoter,Positive,10,Average
11/5/2024,4,Promoter,Positive,7,Satisfactory
11/20/2024,2,Detractor,Negative,5,Poor
11/4/2024,5,Promoter,Positive,6,Excellent
1/28/2025,4,Promoter,Positive,4,Exceptional
12/4/2024,5,Promoter,Positive,8,Average
1/17/2025,3,Passive,Neutral,7,Mediocre
1/17/2025,4,Promoter,Positive,6,Good
11/30/2024,5,Promoter,Positive,6,Okay
12/2/2024,5,Promoter,Positive,3,Okay
12/31/2024,4,Promoter,Positive,5,Superb
12/10/2024,5,Promoter,Positive,5,Superb
12/5/2024,2,Detractor,Negative,5,Disappointing
1/28/2025,3,Passive,Neutral,3,Okay
12/2/2024,4,Promoter,Positive,7,Mediocre
12/9/2024,5,Promoter,Positive,7,Awesome
12/25/2024,5,Promoter,Positive,8,Okay
11/15/2024,5,Promoter,Positive,8,Okay
1/21/2025,3,Passive,Neutral,5,Average
1/12/2025,5,Promoter,Positive,4,Satisfactory
11/25/2024,5,Promoter,Positive,7,Excellent
12/9/2024,4,Promoter,Positive,6,Superb
11/21/2024,3,Passive,Neutral,10,Satisfactory
12/25/2024,5,Promoter,Positive,5,Awesome
1/20/2025,5,Promoter,Positive,5,Mediocre
1/13/2025,5,Promoter,Positive,3,Mediocre
12/11/2024,2,Detractor,Negative,9,Horrible
1/12/2025,5,Promoter,Positive,3,Satisfactory
1/20/2025,5,Promoter,Positive,5,Superb
12/3/2024,4,Promoter,Positive,5,Average
12/25/2024,5,Promoter,Positive,8,Excellent
1/23/2025,5,Promoter,Positive,3,Satisfactory
11/2/2024,4,Promoter,Positive,8,Average
11/24/2024,5,Promoter,Positive,3,Disappointing
1/8/2025,3,Passive,Neutral,2,Mediocre
11/27/2024,5,Promoter,Positive,6,Mediocre
12/20/2024,5,Promoter,Positive,4,Exceptional
12/30/2024,5,Promoter,Positive,9,Superb
12/7/2024,5,Promoter,Positive,3,Disappointing
1/8/2025,4,Promoter,Positive,8,Disappointing
12/26/2024,4,Promoter,Positive,8,Average
12/10/2024,5,Promoter,Positive,5,Disappointing
12/11/2024,5,Promoter,Positive,2,Awesome
12/4/2024,2,Detractor,Negative,9,Horrible
1/17/2025,5,Promoter,Positive,5,Excellent
1/12/2025,5,Promoter,Positive,6,Disappointing
12/17/2024,4,Promoter,Positive,5,Exceptional
11/17/2024,5,Promoter,Positive,6,Excellent
11/15/2024,3,Passive,Neutral,6,Okay
11/10/2024,5,Promoter,Positive,2,Awesome
1/11/2025,5,Promoter,Positive,7,Average
12/15/2024,4,Promoter,Positive,5,Mediocre
12/24/2024,5,Promoter,Positive,5,Superb
12/26/2024,3,Passive,Neutral,9,Mediocre
1/2/2025,5,Promoter,Positive,10,Satisfactory
11/23/2024,5,Promoter,Positive,7,Exceptional
11/4/2024,4,Promoter,Positive,4,Awesome
12/13/2024,3,Passive,Neutral,7,Okay
1/4/2025,5,Promoter,Positive,6,Fantastic
12/26/2024,2,Detractor,Negative,2,Horrible
1/17/2025,3,Passive,Neutral,6,Good
1/3/2025,5,Promoter,Positive,7,Excellent
1/9/2025,1,Detractor,Negative,6,Poor
11/1/2024,3,Passive,Neutral,5,Average
